label,notation
VOS-IS,VOSIS
VOS-JP,VOSJP
VOS-KR,VOSKR
VOS-MY,VOSMY
VOS-NL,VOSNL
VOS-NO,VOSNO
VOS-NZ,VOSNZ
VOS-PL,VOSPL
VOS-RU,VOSRU
VOS-SE,VOSSE
VOS-SHIP-MASK,VOSSHIPMASK
VOS-TH,VOSTH
VOS-US,VOSUS
VOS-ZA,VOSZA
VOTO: Ocean Knowledge glider program,VOTOGlider
Woods Hole Spray glider Program,WHOIGlider
WHYCOS,WHYCOS
WRO,WRO
Whale Glider Program,WhaleGlider
ARGO AWI,argoAWI
ARGO ARGENTINA,argoArgentina
ARGO AUSTRALIA,argoAustralia
ARGO AUSTRALIA EQ.,argoAustraliaEq
ARGO BSH,argoBSH
ARGO BRAZIL,argoBrazil
ARGO BRAZIL NAVY,argoBrazilNavy
ARGO CANADA,argoCanada
Argo CANADA eq.,argoCanadaEq
ARGO CHILE,argoChile
ARGO CHINA,argoChina
ARGO CHINA SOA,argoChinaSOA
ARGO COSTA RICA,argoCostaRica
ARGO DENMARK,argoDenmark
ARGO ECUADOR,argoEcuador
ARGO EQ. AOML,argoEqAOML
ARGO EQ. AWI,argoEqAWI
ARGO EQ. BSH,argoEqBSH
ARGO EQ. CHINA,argoEqChina
ARGO EQ. ESP-OMZ,argoEqESPOMZ
ARGO EQ. FERHRI,argoEqFERHRI
ARGO EQ. FSU,argoEqFSU
ARGO EQ. HNFRI,argoEqHNFRI
ARGO EQ. IFM,argoEqIFM
ARGO EQ. IFM2,argoEqIFM2
ARGO EQ. IRELAND,argoEqIreland
ARGO EQ. JMA,argoEqJMA
ARGO EQ. JAMSTEC,argoEqJamstec
ARGO EQ. NDBC,argoEqNDBC
ARGO EQ. NIPR,argoEqNIPR
ARGO EQ. NRIFS,argoEqNRIFS
ARGO EQ. NAVOCEANO,argoEqNavoceano
ARGO EQ. OIST,argoEqOIST
ARGO EQ. ORI,argoEqORI
ARGO EQ. PMEL,argoEqPMEL
ARGO EQ. POMME,argoEqPomme
ARGO EQ. SAGE,argoEqSage
ARGO EQ. TNFRI,argoEqTNFRI
ARGO EQ. TSK,argoEqTSK
ARGO EQ. TU,argoEqTU
ARGO EQ. UH,argoEqUH
ARGO EQ. UHH,argoEqUHH
ARGO EQ. UM-OSU,argoEqUMOSU
ARGO EQ. VOCALS,argoEqVocals
ARGO EQ. WHOI,argoEqWHOI
ARGO FINLAND,argoFinland
"Argo GO-BGC, SIO",argoGOBGCSIO
"Argo GO-BGC, UW",argoGOBGCUW
"Argo GO-BGC, WHOI",argoGOBGCWHOI
Argo GOM-BOEM eq.,argoGOMBoemEq
ARGO GABON,argoGabon
ARGO GERMANY,argoGermany
Argo GERMANY 2025,argoGermany2025
ARGO GREECE,argoGreece
Argo eq. HU,argoHUEq
ARGO IFM-GEOMAR,argoIFMGeomar
ARGO INDIA,argoIndia
Argo INDONESIA,argoIndonesia
